"","syntax","text","order","preposition","mainform","mainfunc","subform","subfunc","transitivity","vendler","context"
"162","absolute","historic","after","yn","Pro","S/A","implizit","S/A","transitive","activity","S/A=S/A(UP)implicit"
"163","absolute","historic","after","yn","NP","S/A","implizit","S/A","transitive","activity","S/A=S/A(UP)implicit"
"164","absolute","narrative","after","yn","implizit","S/A","implizit","S/A","transitive","achievement",NA
"165","absolute","narrative","after","yn","implizit","S/A","implizit","S/A","intransitive","achievement",NA
"166",NA,"narrative","after","yn",NA,NA,NA,NA,"transitive","activity",NA
"167","complementive","narrative","after","y",NA,NA,NA,NA,"intransitive","activity",NA
"168","complementive","narrative","after","ar","NP","S/A","implizit","S/A","transitive","achievement","S/A=S/A(UP)implicit"
"169","complementive","historic","after","y","Posspro","S/A","implizit","S/A","reflexive","activity","S/A=S/A(UP)implicit"
"170","complementive","narrative","after","y","PP","S/A","implizit","S/A","intransitive","activity","S/A=S/A(UP)implicit"
"171","complementive","narrative","after","y","Pro","S/A","implizit","S/A","intransitive","activity","S/A=S/A(UP)implicit"
"172","complementive","historic","after","y","NP","S/A","implizit","S/A","either","achievement","S/A=S/A(UP)implicit"
"173","complementive","narrative","after","y","NP","S/A","implizit","S/A","transitive","state","S/A=S/A(UP)implicit"
"174","complementive","narrative","after","y","NP","S/A","implizit","S/A","transitive","activity","S/A=S/A(UP)implicit"
"175","complementive","narrative","after","y","PP","S/A","implizit","S/A","transitive","achievement","S/A=S/A(UP)implicit"
"176","complementive","narrative","after","y","PP","S/A","implizit","S/A","intransitive","activity","S/A=S/A(UP)implicit"
"177","complementive","historic","after","y","NP","S/A","implizit","S/A","transitive","accomplishment","S/A=S/A(UP)implicit"
"178","complementive","narrative","after","ar","Verb","S/A","implizit","S/A","transitive","activity","S/A=S/A(UP)implicit"
"179","complementive","narrative","after","y","PP","S/A","implizit","S/A","intransitive","activity","S/A=S/A(UP)implicit"
"180","complementive","narrative","after","y","PP","S/A","implizit","S/A","transitive","activity","S/A=S/A(UP)implicit"
"181","complementive","narrative","after","y","PP","S/A","implizit","S/A","transitive","achievement","S/A=S/A(UP)implicit"
"182","complementive","narrative","after","y","PP","S/A","implizit","S/A","transitive","state","S/A=S/A(UP)implicit"
"183","complementive","historic","after","y","PP","S/A","implizit","S/A","transitive","accomplishment","S/A=S/A(UP)implicit"
"184","complementive","narrative","after","ar","Posspro","Poss","implizit","S/A","intransitive","achievement",NA
"185","adverbial","narrative","after",NA,"Verb","S/A","PP","S/A","transitive","activity","S/A=S/A(UP)"
"186","adverbial","historic","after",NA,"PP","G","implizit","S/A","transitive","activity","G=S/A(UP)implicit"
"187","adverbial","narrative","after","y","PP","G","implizit","S/A","transitive","activity","G=S/A(UP)implicit"
"188","adverbial","narrative","after","y","PP","G","implizit","S/A","transitive","activity","G=S/A(UP)implicit"
"189","adverbial","narrative","after","y","PP","G","implizit","S/A","intransitive","activity","G=S/A(UP)implicit"
"190","adverbial","historic","after","y","PP","G","implizit","S/A","transitive","achievement","G=S/A(UP)implicit"
"191","adverbial","historic","after","y",NA,NA,NA,NA,"transitive","accomplishment",NA
"192","adverbial","narrative","after","y","PP","G","PP","G","transitive","achievement",NA
"193","adverbial","historic","after","y",NA,NA,NA,NA,"transitive","achievement",NA
"194","adverbial","historic","after","y","NP","P","PP","P","transitive","achievement",NA
"195","adverbial","narrative","after","y",NA,NA,NA,NA,"transitive","accomplishment",NA
"196","adverbial","narrative","after","y","NP","P","implizit","S/A","reflexive","activity","P=S/A(UP)implicit"
"197","adverbial","historic","after","y","NP","P","implizit","S/A","reflexive","activity","P=S/A(UP)implicit"
"198","adverbial","historic","after","y","NP","P","implizit","S/A","transitive","accomplishment","P=S/A(UP)implicit"
"199","adverbial","narrative","after","y","Pro","P","implizit","S/A","transitive","activity","P=S/A(UP)implicit"
"200","adverbial","historic","after","y","NP","P","implizit","S/A","either","activity","P=S/A(UP)implicit"
"201","adverbial","historic","after","y","NP","P","implizit","S/A","intransitive","activity","P=S/A(UP)implicit"
"202","adverbial","narrative","after","y","NP","P","implizit","S/A","transitive","activity","P=S/A(UP)implicit"
"203","adverbial","historic","after","y","NP","P","implizit","S/A","transitive","activity","P=S/A(UP)implicit"
"204","adverbial","narrative","after","y","NP","P","implizit","S/A","transitive","state","P=S/A(UP)implicit"
"205","adverbial","narrative","after","y","NP","P","implizit","S/A","transitive","state","P=S/A(UP)implicit"
"206","adverbial","narrative","after","y","Pro","P","implizit","S/A","transitive","activity","P=S/A(UP)implicit"
"207","adverbial","historic","after","y","NP","P","implizit","S/A","transitive","activity","P=S/A(UP)implicit"
"208","adverbial","historic","after","y","NP","P","implizit","S/A","either","achievement","P=S/A(UP)implicit"
"209","adverbial","narrative","after","y","Pro","P","implizit","S/A","transitive","achievement","P=S/A(UP)implicit"
"210","adverbial","narrative","after","y","NP","P","implizit","S/A","transitive","achievement","P=S/A(UP)implicit"
"211","adverbial","narrative","after","y","NP","P","implizit","S/A","transitive","achievement","P=S/A(UP)implicit"
"212","adverbial","narrative","after","y","NP","P","implizit","S/A","transitive","achievement","P=S/A(UP)implicit"
"213","adverbial","historic","after","y","NP","P","implizit","S/A","transitive","achievement","P=S/A(UP)implicit"
"214","adverbial","historic","after","y","NP","P","implizit","S/A","transitive","achievement","P=S/A(UP)implicit"
"215","adverbial","historic","after","y","NP","P","implizit","S/A","transitive","achievement","P=S/A(UP)implicit"
"216","adverbial","narrative","after","y","Posspro","P","implizit","S/A","transitive","activity","P=S/A(UP)implicit"
"217","adverbial","narrative","after","y","PP","P","implizit","S/A","intransitive","activity","P=S/A(UP)implicit"
"218","adverbial","narrative","after","y","NP","P","implizit","S/A","intransitive","activity","P=S/A(UP)implicit"
"219","adverbial","narrative","after","y","NP","P","implizit","S/A","intransitive","activity","P=S/A(UP)implicit"
"220","adverbial","historic","after","y","NP","P","implizit","S/A","transitive","activity","P=S/A(UP)implicit"
"221","adverbial","historic","after","y","NP","P","implizit","S/A","transitive","activity","P=S/A(UP)implicit"
"222","adverbial","narrative","after","y","NP","P","implizit","S/A","transitive","achievement","P=S/A(UP)implicit"
"223","adverbial","historic","after","y","Pro","P","implizit","S/A","transitive","achievement","P=S/A(UP)implicit"
"224","adverbial","narrative","after","y","NP","P","implizit","S/A","transitive","achievement","P=S/A(UP)implicit"
"225","adverbial","narrative","after","y","NP","P","implizit","S/A","transitive","achievement","P=S/A(UP)implicit"
"226","adverbial","narrative","after","y","Verb","S/A","implizit","S/A","reflexive","activity","S/A=S/A(UP)implicit"
"227","adverbial","historic","after","y","NP","S/A","implizit","S/A","reflexive","activity","S/A=S/A(UP)implicit"
"228","adverbial","historic","after","y","NP","S/A","implizit","S/A","reflexive","activity","S/A=S/A(UP)implicit"
"229","adverbial","narrative","after","y","Verb","S/A","implizit","S/A","reflexive","activity","S/A=S/A(UP)implicit"
"230","adverbial","historic","after","wrth","NP","S/A","implizit","S/A","transitive","activity","S/A=S/A(UP)implicit"
"231","adverbial","historic","after","wrth","NP","S/A","implizit","S/A","transitive","accomplishment","S/A=S/A(UP)implicit"
"232","adverbial","narrative","after","y","NP","S/A","implizit","S/A","transitive","achievement","S/A=S/A(UP)implicit"
"233","adverbial","historic","after","y","NP","S/A","implizit","S/A","transitive","accomplishment","S/A=S/A(UP)implicit"
"234","adverbial","narrative","after","y","NP","S/A","implizit","S/A","transitive","activity","S/A=S/A(UP)implicit"
"235","adverbial","historic","after","wrth","Verb","S/A","implizit","S/A","transitive","activity","S/A=S/A(UP)implicit"
"236","adverbial","historic","after","wrth","NP","S/A","implizit","S/A","transitive","activity","S/A=S/A(UP)implicit"
"237","adverbial","narrative","after","y","NP","S/A","implizit","S/A","intransitive","activity","S/A=S/A(UP)implicit"
"238","adverbial","narrative","after","y","NP","S/A","implizit","S/A","intransitive","activity","S/A=S/A(UP)implicit"
"239","adverbial","historic","after","y","Verb","S/A","implizit","S/A","intransitive","activity","S/A=S/A(UP)implicit"
"240","adverbial","historic","after","y","Verb","S/A","implizit","S/A","transitive","achievement","S/A=S/A(UP)implicit"
"241","adverbial","narrative","after","y","Verb","S/A","implizit","S/A","transitive","state","S/A=S/A(UP)implicit"
"242","adverbial","historic","after","y","Verb","S/A","implizit","S/A","transitive","state","S/A=S/A(UP)implicit"
"243","adverbial","historic","after","y","NP","S/A","implizit","S/A","intransitive","accomplishment","S/A=S/A(UP)implicit"
"244","adverbial","narrative","after","y","Verb","S/A","implizit","S/A","transitive","activity","S/A=S/A(UP)implicit"
"245","adverbial","narrative","after","y","Posspro","S/A","implizit","S/A","transitive","activity","S/A=S/A(UP)implicit"
"246","adverbial","historic","after","y","NP","S/A","implizit","S/A","transitive","activity","S/A=S/A(UP)implicit"
"247","adverbial","historic","after","y","NP","S/A","implizit","S/A","transitive","activity","S/A=S/A(UP)implicit"
"248","adverbial","historic","after","y","NP","S/A","implizit","S/A","transitive","activity","S/A=S/A(UP)implicit"
"249","adverbial","narrative","after","y","NP","S/A","implizit","S/A","transitive","achievement","S/A=S/A(UP)implicit"
"250","adverbial","narrative","after","y","NP","S/A","implizit","S/A","transitive","achievement","S/A=S/A(UP)implicit"
"251","adverbial","narrative","after","y","NP","S/A","implizit","S/A","transitive","achievement","S/A=S/A(UP)implicit"
"252","adverbial","narrative","after","y","Verb","S/A","implizit","S/A","transitive","activity","S/A=S/A(UP)implicit"
"253","adverbial","historic","after","y","PP","S/A","implizit","S/A","transitive","achievement","S/A=S/A(UP)implicit"
"254","adverbial","narrative","after","y","Verb","S/A","implizit","S/A","transitive","achievement","S/A=S/A(UP)implicit"
"255","adverbial","narrative","after","y","NP","S/A","implizit","S/A","transitive","achievement","S/A=S/A(UP)implicit"
"256","adverbial","historic","after","y","Verb","S/A","implizit","S/A","transitive","achievement","S/A=S/A(UP)implicit"
"257","adverbial","narrative","after","y","implizit","S/A","implizit","S/A","transitive","achievement","S/A=S/A(UP)implicit"
"258","adverbial","narrative","after","y","NP","S/A","implizit","S/A","transitive","achievement","S/A=S/A(UP)implicit"
"259","adverbial","narrative","after","y","NP","S/A","implizit","S/A","transitive","achievement","S/A=S/A(UP)implicit"
"260","adverbial","narrative","after","y","NP","S/A","implizit","S/A","transitive","achievement","S/A=S/A(UP)implicit"
"261","adverbial","historic","after","y","Verb","S/A","implizit","S/A","transitive","achievement","S/A=S/A(UP)implicit"
"262","adverbial","historic","after","y","Verb","S/A","implizit","S/A","transitive","achievement","S/A=S/A(UP)implicit"
